English	Lithuanian
Bond (finance)	Obligacija
Bone	Kaulas
Bone marrow	Raudonieji kaulų čiulpai
Bonn	Bona
Book	Knyga
Book of Mormon	Mormono knyga
Boolean algebra (structure)	Būlio algebra
Boomerang	Bumerangas
Bordeaux	Bordo
Borneo	Borneo
Boron	Boras
Bosnia and Herzegovina	Bosnija ir Hercegovina
Bosnia and Herzegovina	Kategorija:Bosnija ir Hercegovina
Boson	Bozonas
Bosporus	Bosforo sąsiauris
Boston	Bostonas
Boston Tea Party	Bostono arbatėlė
Bot	Šablonas:Botas
Botanical garden	Botanikos sodas
Botany	Botanika
Botany	Kategorija:Botanika
Botswana	Botsvana
Botswana	Kategorija:Botsvana
Bottlenose Dolphin	Afalina
Bourgeoisie	Buržuazija
Bourgogne	Burgundija
Bouvet Island	Buvė
Bovid	Dykaraginiai
Bow (weapon)	Lankas (ginklas)
Bowling	Boulingas
Boxer (dog)	Bokseris
Boxers	Kategorija:Boksininkai
Boxing	Boksas
Boxing	Kategorija:Boksas
Brahma	Brahma
Brahmaputra River	Bramaputra
Braille	Aklųjų raštas
Brain	Galvos smegenys
Brandenburg	Brandenburgas
Brandy	Brendis
Brassicaceae	Bastutiniai
Brassiere	Liemenėlė
Bratislava	Bratislava
Brazil	Brazilija
Brazil	Kategorija:Brazilija
Brazzaville	Brazavilis
Bread	Duona
Breast	Krūtis
Bremen	Brėmenas
Bremen (state)	Brėmenas (žemė)
Brescia	Breša
Brest	Brestas (Baltarusija)
Brest	Brestas
Bretagne	Bretanė
Brick	Plyta
Bridge	Tiltas
Bridges	Kategorija:Tiltai
Bridgetown	Bridžtaunas
Brigade	Brigada (karyba)
Brisbane	Brisbenas
Bristol	Bristolis
British Columbia	Britų Kolumbija
British Empire	Britų imperija
British Isles	Britų salos
British Virgin Islands	Mergelių Salos (Didžioji Britanija)
British people	Kategorija:Jungtinės Karalystės asmenybės
Brno	Brno
Broccoli	Brokolis
Bromine	Bromas
Bronze	Bronza
Bronze Age	Bronzos amžius
Brooklyn	Bruklinas
Brooklyn Bridge	Bruklino tiltas
Brown	Ruda
Brown Bear	Rudasis lokys
Brownian motion	Brauno judėjimas
Bruce Lee	Bruce Lee
Bruges	Briugė
Brunei	Brunėjus
Brunei	Kategorija:Brunėjus
Brussels	Briuselis
Bubonic plague	Maras
Bucharest	Bukareštas
Buckwheat	Sėjamasis grikis
Budapest	Budapeštas
Buddha	Buda
Buddhism	Budizmas
Buddhism	Kategorija:Budizmas
Buenos Aires	Buenos Airės
Building	Statinys
Bujumbura	Bužumbūra
Bulgaria	Bulgarija
Bulgaria	Kategorija:Bulgarija
Bumblebee	Kamanė
Bureaucracy	Biurokratija
Burgomaster	Burmistras
Burkina Faso	Burkina Fasas
Burkina Faso	Kategorija:Burkina Fasas
Burma	Mianmaras
Burma	Kategorija:Mianmaras
Burqa	Burka
Bursa	Bursa
Burundi	Kategorija:Burundis
Bus	Autobusas
Bus (computing)	Magistralė (kompiuteris)
Business	Verslas
Businesspeople	Kategorija:Verslininkai
Butane	Butanas (dujos)
Butter	Sviestas
Bydgoszcz	Bydgoščius
Byte	Baitas
C	C
C (programming language)	C (kalba)
CHAOS (Linux distribution)	CHAOS
COBOL	COBOL
Cacao	Tikrasis kakavmedis
Cache	Kešavimas
