Finnish	English
Bauhaus	Bauhaus
Bauksiitti	Bauxite
Baijeri	Bavaria
Laakeripuu	Bay Laurel
Bengalinlahti	Bay of Bengal
Biskajanlahti	Bay of Biscay
Pistin	Bayonet
Bayonne	Bayonne
Uimaranta	Beach
Beagle	Beagle
Nokka	Beak
Karhut	Bear
Beaufortinmeri	Beaufort Sea
Boforiasteikko	Beaufort scale
Majavat	Beaver
Bebop	Bebop
Becquerel	Becquerel
Vuode	Bed
Beda Venerabilis	Bede
Beduiinit	Bedouin
Mehiläinen	Bee
Pyökit	Beech
Luokka:Mehiläisten hoito	Beekeeping
Olut	Beer
Luokka:Olut	Beer
Kovakuoriaiset	Beetle
Käyttäytymistiede	Behaviorism
Peking	Beijing
Beirut	Beirut
Valko-Venäjä	Belarus
Luokka:Valko-Venäjä	Belarus
Belfast	Belfast
Belgia	Belgium
Luokka:Belgia	Belgium
Belgrad	Belgrade
Belisarios	Belisarius
Belize	Belize
Luokka:Belize	Belize
Bellerofon	Bellerophon
Itämainen tanssi	Belly dance
Belo Horizonte	Belo Horizonte
Maitovalas	Beluga
Benelux	Benelux
Bengal	Bengal
Bengasi	Benghazi
Benin	Benin
Luokka:Benin	Benin
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Disraeli	Benjamin Disraeli
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Benny Goodman	Benny Goodman
Beowulf	Beowulf
Bergen	Bergen
Beringinmeri	Bering Sea
Beringinsalmi	Bering Strait
Berkelium	Berkelium
Berkshire	Berkshire
Berliini	Berlin
Luokka:Berliini	Berlin
Bermuda	Bermuda
Luokka:Bermuda	Bermuda
Bermudan kolmio	Bermuda Triangle
Bernardo Bertolucci	Bernardo Bertolucci
Bern	Berne
Bernhard Riemann	Bernhard Riemann
Marja	Berry
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Berylli	Beryl
Beryllium	Beryllium
Beeta	Beta (letter)
Beetahajoaminen	Beta decay
Betelgeuze	Betelgeuse
Betlehem	Bethlehem
Bette Davis	Bette Davis
Beverly Hills	Beverly Hills
Bhutan	Bhutan
Luokka:Bhutan	Bhutan
Raamattu	Bible
Luokka:Raamattu	Bible
Bibliografia	Bibliography
Polkupyörä	Bicycle
Alkuräjähdys	Big Bang
Bihar	Bihar
Bikinit	Bikini
Sappi	Bile
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Billy Wilder	Billy Wilder
Kaksoistähti	Binary star
Kiikari	Binoculars
Biokemia	Biochemistry
Luokka:Biokemia	Biochemistry
Biodiversiteetti	Biodiversity
Eliömaantiede	Biogeography
Elämäkerta	Biography
Teemasivu:Henkilöt	Biography
Biologinen ase	Biological warfare
Biologia	Biology
Luokka:Biologia	Biology
Teemasivu:Biologia	Biology
